Model,Accuracy,F1_Macro
LightGBM_SMOTE,0.966903073286052,0.9658008938921466
XGBoost_SMOTE,0.9598108747044918,0.9591231353890393
RandomForest_SMOTE,0.9385342789598109,0.9385815211558937
